"Title","Other titles","BL record ID","Type of resource","Content type","Material type","BNB number","Archival Resource Key","ISBN","Name","Dates associated with name","Type of name","Role","All names","Series title","Number within series","Country of publication","Place of publication","Publisher","Date of creation/publication","Edition","Physical description","Dewey classification","BL shelfmark","Topics","Genre","Languages","Notes","Provenance"
"Master of Ballantrae","Novels. Selections ; The master of Ballantrae : and, Weir of Hermiston ; Weir of Hermiston","012701513","Monograph","Language material ; Text","Volume","GB9332767","","9781857151060","Stevenson, Robert Louis","1850-1894","person","author","Stevenson, Robert Louis, 1850-1894, author [person] ; Stevenson, Robert Louis, 1850-1894 [person]","Everyman's library","106 [Everyman's library]","England","London","David Campbell","1992","New edition","xlix, 373 pages, 21 cm","823.8","12206.P.1/1504","English fiction","","English","",""
"Master of Ballantrae","Novels. Selections ; The two major novels : The master of Ballantrae ; Weir of Hermiston ; Weir of Hermiston","011566050","Monograph","Language material ; Text","Volume","GB6020190","","","Stevenson, Robert Louis","1850-1894","person","author","Stevenson, Robert Louis, 1850-1894, author [person] ; Stevenson, Robert Louis, 1850-1894 [person]","Bantam Books","number FC76 [Bantam Books]","United States of America","New York","Bantam","1960","","319 pages, 18 cm","823.8","11454.g.53","","","English","",""
"Master of Ballantrae","Novels. Selections. Russian ; Ostrov sokrovishch : Master Ballantre (dva brata) ; Treasure Island","013616816","Monograph","Language material ; Text","Volume","","","","Stevenson, Robert Louis","1850-1894","person","author","Stevenson, Robert Louis, 1850-1894, author [person] ; Stevenson, Robert Louis, 1850-1894 [person] ; Grigorʹeva, O. [person] ; Mann, M. I. [person]","","","Russia","Saint Petersburg","Izdatelstvo P.P. Soikina","","","181 + 322 pages, illustrations, portraits, 20 cm","","YF.2007.a.21523","Adventure stories","","Russian","2 books in one volume",""
"Master of Ballantrae. Abridgement","The Master of Ballantrae","003501416","Monograph","Language material ; Text","Volume","","","","Stevenson, Robert Louis","1850-1894","person","author","Stevenson, Robert Louis, 1850-1894, author [person]","Mellifont Classics","number 40 [Mellifont Classics]","England ; Ireland","Dublin ; London","Mellifont Press","1947","","253 pages (8°)","","W.P.989/40","","","English","Abridged",""
"Master of Ballantrae. Abridgement","The Master of Ballantrae","008995680","Monograph","Language material ; Text","Volume","GB5416481","","","Stevenson, Robert Louis","1850-1894","person","author","Stevenson, Robert Louis, 1850-1894, author [person]","Murray's Abbey classics","","England","London","Murray7s Abbey Classics","1954","","253 pages, illustrations, 19 cm","823.8","W.P.D.175/4","","","English","Abridged",""
"Master of Ballantrae. Abridgement","The Master of Ballantrae","009658793","Monograph","Language material ; Text","Volume","GB5708186","","","Stevenson, Robert Louis","1850-1894","person","author","Stevenson, Robert Louis, 1850-1894, author [person]","Abbey classics","","England","London","Murrays Book Sales","1957","Abridged edition","253 pages, illustrations, 19 cm","823.8","W.P.D.175/17","","","English","",""
"Master of Ballantrae. Catalan","L'Hereu de Ballantrae","003501413","Monograph","Language material ; Text","Volume","","","","Stevenson, Robert Louis","1850-1894","person","author","Jordana, Cèsar-August, 1893-1960 [person] ; Stevenson, Robert Louis, 1850-1894, author [person]","Biblioteca A tot vent","number 96 [Biblioteca A tot vent]","France","Perpinyà","","1953","","283 pages (8°)","","X.907/6554","","","Catalan","",""
"Master of Ballantrae. French","L'héritier de Ballantrae","009990216","Monograph","Language material ; Text","Volume","","","","Stevenson, Robert Louis","1850-1894","person","author","Stevenson, Robert Louis, 1850-1894, author [person] ; Reichen, Charles-Albert, translator [person]","","","Switzerland","Lausanne","La Guilde du livre","1951","","232 pages","","YA.1995.a.17658","Fiction in English--1837-1900--Translations","","French","",""
"Master of Ballantrae. Irish","Maighistir Bhaile-na-Trágha","003501414","Monograph","Language material ; Text","Volume","","","","Stevenson, Robert Louis","1850-1894","person","author","Ó Dónaill, Niall, 1908-1995, translator [person] ; Stevenson, Robert Louis, 1850-1894, author [person]","","","Ireland","Baile Átha Cliath","Oifig an t-Soláthair","1938","","352 pages (8°)","","012643.n.106","","","Irish","Title and description transliterated from Irish script",""
"Master of Ballantrae. Polish","Ordynat na Ballantrae. Powieść, etc","003501415","Monograph","Language material ; Text","Volume","","","","Stevenson, Robert Louis","1850-1894","person","author","Stevenson, Robert Louis, 1850-1894, author [person]","","","Poland","Warszawa","","1890","","312 pages (8°)","","012611.i.41","","","Polish","Dodatek do number 48 pisma tygodniowego Bluszcz",""
"Memoir of Fleeming Jenkin : Records of a family of engineers","","010876792","Monograph","Language material ; Text","Volume","","","","Stevenson, Robert Louis","1850-1894","person","author","Stevenson, Robert Louis, 1850-1894, author [person]","Works","volume 19 [Works]","","","Heinemann","1924","Tusitala edition","","","W17/0593","","","English","",""
"Memoir of Fleeming Jenkin : and, A family of engineers","Family of engineers ; Memoir of Fleeming Jenkin","012243105","Monograph","Language material ; Text","Volume","GB7001558","","9780900948558","Stevenson, Robert Louis","1850-1894","person","","Stevenson, Robert Louis, 1850-1894 [person]","Works / Robert Louis Stevenson","","England","London","Heron","1969","","xi, 394 pages, 18 plates, illustrations, portraits, 21 cm","621.30924","","","","English","",""
"Memoir of Fleeming Jenkin : and, Records of a family of engineers","Memoir of Fleeming Jenkin ; Prose works. Selections ; Records of a family of engineers","015684319","Monograph","Language material ; Text","Volume","GBB0D2239","","","Stevenson, Robert Louis","1850-1894","person","author","Stevenson, Robert Louis, 1850-1894, author [person] ; Stevenson, Robert Louis, 1850-1894 [person]","Cambridge Scholars Publishing classic texts ; The complete works","volume 19 [The complete works]","England","Newcastle upon Tyne","Cambridge Scholars","2009","","vi, 218 pages, 21 cm","823.8","H.2010/.9158","","","English","",""
"Memoir of Fleeming Jenkin","","003501419","Monograph","Language material ; Text","Volume","","","","Stevenson, Robert Louis","1850-1894","person","author","Stevenson, Robert Louis, 1850-1894, author [person]","","","","","","1887","","","","12272.i.7","","","English","",""
"Memoir of Fleeming Jenkin","","003501420","Monograph","Language material ; Text","Volume","","","","Stevenson, Robert Louis","1850-1894","person","author","Stevenson, Robert Louis, 1850-1894, author [person]","","","United States of America","New York","Charles Scribner","1887","","viii, 302 pages (8°)","","10864.aa.55","JENKIN, Henry Charles Fleeming","","English","",""
"Memoir of Fleeming Jenkin","","003501421","Monograph","Language material ; Text","Volume","","","","Stevenson, Robert Louis","1850-1894","person","author","Stevenson, Robert Louis, 1850-1894, author [person]","","","England","London","Longmans","1912","","viii, 229 pages (8°)","","010854.df.48","JENKIN, Henry Charles Fleeming","","English","",""
"Memoir of Fleeming Jenkin","","010876509","Monograph","Language material ; Text","Volume","","","","Stevenson, Robert Louis","1850-1894","person","author","Stevenson, Robert Louis, 1850-1894, author [person]","","","","","Heinemann","1924","","","","W6/7028","","","English","",""
"Memoir of Fleeming Jenkin","Family of engineers ; Memoir of Fleeming Jenkin : and, A family of engineers","012243105","Monograph","Language material ; Text","Volume","GB7001558","","9780900948558","Stevenson, Robert Louis","1850-1894","person","","Stevenson, Robert Louis, 1850-1894 [person]","Works / Robert Louis Stevenson","","England","London","Heron","1969","","xi, 394 pages, 18 plates, illustrations, portraits, 21 cm","621.30924","","","","English","",""
"Memoir of Fleeming Jenkin","Memoir of Fleeming Jenkin : and, Records of a family of engineers ; Prose works. Selections ; Records of a family of engineers","015684319","Monograph","Language material ; Text","Volume","GBB0D2239","","","Stevenson, Robert Louis","1850-1894","person","author","Stevenson, Robert Louis, 1850-1894, author [person] ; Stevenson, Robert Louis, 1850-1894 [person]","Cambridge Scholars Publishing classic texts ; The complete works","volume 19 [The complete works]","England","Newcastle upon Tyne","Cambridge Scholars","2009","","vi, 218 pages, 21 cm","823.8","H.2010/.9158","","","English","",""
